epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4427,1.73387,2.46739,1.41729,0.57779,0.38669,0.37617,0.19406,1.75237,1.70032,1.46139,0.0033268,0.0033268,0.0033268
2,135.851,1.68405,1.74511,1.37487,0.62095,0.43393,0.43324,0.21747,1.75019,1.55617,1.42884,0.00665354,0.00665354,0.00665354
3,196.444,1.71092,1.66811,1.38537,0.56456,0.43515,0.39767,0.19489,1.8057,1.58291,1.50725,0.00997368,0.00997368,0.00997368
4,257.096,1.73017,1.6016,1.40462,0.59129,0.4595,0.45134,0.22417,1.77476,1.51387,1.45779,0.0099703,0.0099703,0.0099703
5,317.645,1.70543,1.48668,1.38822,0.60482,0.46292,0.46598,0.23433,1.75714,1.42735,1.45928,0.0099604,0.0099604,0.0099604
6,377.762,1.6972,1.41947,1.37928,0.53169,0.55005,0.54051,0.27289,1.72026,1.32996,1.42966,0.0099505,0.0099505,0.0099505
7,437.849,1.66965,1.35915,1.36519,0.61282,0.53397,0.56779,0.29888,1.71412,1.26317,1.40944,0.0099406,0.0099406,0.0099406
8,499.026,1.65553,1.32088,1.36006,0.5409,0.57845,0.573,0.30521,1.6654,1.26693,1.39685,0.0099307,0.0099307,0.0099307
9,560.559,1.6443,1.28356,1.34865,0.58004,0.55804,0.5823,0.30997,1.73027,1.2686,1.43554,0.0099208,0.0099208,0.0099208
10,620.918,1.63342,1.26754,1.34866,0.6151,0.56985,0.59463,0.31445,1.70372,1.22249,1.40755,0.0099109,0.0099109,0.0099109
11,681.563,1.63522,1.25491,1.34316,0.52497,0.56726,0.55568,0.29391,1.65534,1.25495,1.39228,0.009901,0.009901,0.009901
12,743.225,1.62629,1.22409,1.33769,0.62751,0.55316,0.59367,0.32031,1.65804,1.1727,1.38095,0.0098911,0.0098911,0.0098911
13,804.135,1.62375,1.22353,1.33749,0.61974,0.59565,0.62328,0.33824,1.65334,1.16459,1.37945,0.0098812,0.0098812,0.0098812
14,865.424,1.61022,1.20978,1.33504,0.60869,0.58814,0.61979,0.33292,1.64725,1.15509,1.37769,0.0098713,0.0098713,0.0098713
